               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa),               CRI Profile Diagnostic Statements by Subject Tag (or Vice Versa)
#encryption,PR.PS-01.06: The organization employs defined encryption methods and management practices commensurate with the criticality of the information being protected and the inherent risk of the technical environment where used.,PROTECT / Platform Security / Configuration Management,PR.PS-01.06,085.198
#encryption,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.08,085.200
#encryption,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.05,093.228
#encryption,PR.IR-01.06: The organization's production and non-production environments and data are segregated and managed to prevent unauthorized access or changes to the information assets.,PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.06,093.229
#end_user_security,"GV.PO-01.04: All personnel (employees and third party) consent to policies addressing acceptable technology use, social media use, personal device use (e.g., BYOD), confidentiality, and/or other security-related policies and agreements as warranted by their position.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",GV.PO-01.04,024.062
#end_user_security,"PR.IR-01.08: The organization implements policies, procedures, end-user agreements, and technical controls to address the risks of end-user mobile or personal computing devices accessing the organization's network and resources.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.08,093.231
#endpoint_security,"PR.PS-01.09: Endpoint systems implemented using virtualization technologies employ mechanisms to protect network, application, and data integrity, such as restricting access to local network and peripheral devices, multi-factor authentication, locking-down device source network locations, and data leakage protections.",PROTECT / Platform Security / Configuration Management,PR.PS-01.09,085.201
#endpoint_security,"PR.PS-05.01: The organization has policies, procedures, and tools in place to detect and block malware from infecting networks and systems, including automatically updating malware signatures and behavior profiles on all endpoints.",PROTECT / Platform Security / Unauthorized Software Installation & Execution,PR.PS-05.01,089.209
#endpoint_security,"PR.PS-05.02: The organization implements safeguards against unauthorized mobile code (e.g., JavaScript, ActiveX, VBScript, PowerShell, etc.) on mobile, end point, and server systems.",PROTECT / Platform Security / Unauthorized Software Installation & Execution,PR.PS-05.02,089.210
#endpoint_security,"PR.PS-05.03: The organization has policies, procedures, and tools in place to detect, isolate, and block the use of attached malware or malicious links present in email or message services.",PROTECT / Platform Security / Unauthorized Software Installation & Execution,PR.PS-05.03,089.211
#endpoint_security,"PR.IR-01.02: Network device configurations (e.g., firewall rules, ports, and protocols) are documented, reviewed and updated regularly and upon change to ensure alignment with network access, segmentation, traversal, and deny-all default requirements.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.02,093.225
#endpoint_security,"PR.IR-01.08: The organization implements policies, procedures, end-user agreements, and technical controls to address the risks of end-user mobile or personal computing devices accessing the organization's network and resources.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,PR.IR-01.08,093.231
#endpoint_security,"DE.CM-09.03: The organization has policies, procedures, and tools in place to monitor for, detect, and block the use of unsupported or unauthorized software, hardware, or configuration changes.","DETECT / Continuous Monitoring / Hardware, Software, & Data Monitoring",DE.CM-09.03,103.250
#endpoint_security,"DE.AE-02.01: The organization performs timely collection of event data, as well as advanced and automated analysis (including the use of security tools such as antivirus and IDS/IPS) on the detected events to:
(1) Assess and understand the nature, scope and method of the attack;
(2) Predict and block a similar future attack; and
(3) Report timely risk metrics.",DETECT / Adverse Event Analysis / Potentially Adverse Event Analysis,DE.AE-02.01,105.251
#endpoint_security,"DE.AE-03.01: The organization implements systematic and real-time logging, collection, monitoring, detection, and alerting measures across multiple layers of the organization's infrastructure, including physical perimeters, network, operating systems, applications, data, and external (cloud and outsourced) environments, sufficient to protect the organization's information assets.",DETECT / Adverse Event Analysis / Event Information Correlation,DE.AE-03.01,106.253
#endpoint_security,"RS.MI-02.01: Targeted investigations and actions are taken to ensure that all vulnerabilities, system components, devices, or remnants used or leveraged in an attack (e.g., malware, compromised accounts, open ports, etc.) are removed or otherwise returned to a secure and reliable state, or that plans to address the vulnerabilities are documented.",RESPOND / Incident Mitigation / Incident Eradication,RS.MI-02.01,128.275
